ailleurs;1;5;3;4;2;5;1
pouvoir;2;1;4;5;4;2;1
devoir;1;1;3;4;2;3;1
savoir;4;2;1;3;1;3;2
vouloir;2;3;1;2;3;4;3
dire;2;2;2;0;1;1;5
moins;2;2;2;0;5;2;2
faire;2;2;4;4;3;2;1
personne;1;0;5;0;1;3;1
3;1;0;3;0;4;2;0
parfois;0;2;3;5;2;1;2
contre;0;2;3;1;4;1;3
rien;3;0;1;1;3;0;0
point;3;0;2;1;2;3;2
ceux;1;1;2;3;1;1;1
quelques;1;2;3;0;2;0;3
bon;0;2;0;1;2;0;3
5;3;0;0;2;2;0;0
ni;1;1;1;2;1;0;0
10;1;0;0;4;2;1;3
sous;2;0;1;2;2;2;2
certain;1;1;2;2;1;2;1
20;2;0;0;1;2;0;0
mieux;0;0;0;1;4;0;0
dont;0;1;0;3;0;2;1
autres;1;2;2;2;1;1;2
autre;2;1;1;3;1;1;1
2026;2;0;0;0;2;0;0
pendant;1;1;3;1;0;0;1
chaque;0;2;1;0;0;1;2
trop;0;0;0;2;0;0;2
toute;2;0;1;1;3;0;0
mal;0;0;1;1;0;1;1
lorsqu;0;2;0;2;1;2;0
falloir;1;0;0;3;1;0;0
2025;1;0;0;0;2;0;0
u;0;0;0;0;0;0;3
mêmes;0;0;0;3;0;1;0
jamais;2;2;1;2;0;1;0
chez;1;0;1;0;0;0;1
près;2;1;0;2;0;1;0
pourquoi;1;1;0;0;0;1;0
maintenant;1;0;0;0;4;0;0
longtemps;0;2;2;0;0;2;0
devant;2;0;1;1;1;2;1
an;1;0;2;1;1;0;1
25;2;0;1;2;1;2;0
2;3;0;3;0;0;1;0
souvent;0;1;1;1;0;0;1
elles;0;0;2;3;0;0;0
dessus;0;1;2;0;1;0;1
avant;1;0;0;2;0;2;0
autant;0;0;2;1;0;1;1
4;3;0;2;1;0;0;1
parmi;1;1;0;1;0;2;0
certains;0;0;1;1;0;1;3
celui;1;1;1;1;0;2;0
autour;0;2;0;0;2;0;0
2027;0;1;0;0;3;0;0
toutes;0;0;1;2;1;1;1
tant;0;2;0;0;1;1;0
ensuite;1;0;3;0;1;0;1
aucune;1;0;1;0;0;1;0
trois;1;1;0;1;1;0;0
lorsque;0;2;0;0;1;0;0
loin;1;1;0;0;0;0;2
jusqu;0;0;2;1;0;0;0
force;0;1;0;0;1;1;0
certaine;0;0;0;1;0;2;0
8;3;0;0;0;0;0;0
plusieurs;1;0;1;1;0;0;1
partout;1;0;0;1;1;0;1
chacun;0;1;0;0;1;1;1
24;2;0;0;1;0;1;0
demain;1;0;1;0;0;0;1
croire;0;1;1;0;0;1;0
auprès;0;1;1;0;0;1;0