"";"";"";"";"morrow";""
"1";"morrow";"0.874312040699696";"-1.17520123118392";"1.02712537628861";"155"
"2";"answer";"-0.20410926891457";"0.414114640613379";"1.00907863393068";"182"
"3";"quarter";"1.37846943096745";"-1.31268524567516";"0.990970152717319";"203"
"4";"journey";"1.04016219547296";"-0.964915308133589";"0.973372204346977";"226"
"5";"servant";"1.69354521539602";"-0.674079799345262";"0.972887791788948";"227"
"6";"london";"0.475890246661607";"-1.04754261031283";"0.968471089053982";"232"
"7";"town";"0.450162558411942";"-0.999533181761451";"0.964752510299703";"236"
"8";"education";"-1.28424687783283";"-1.48814158329081";"0.961463728962107";"239"
"9";"warmth";"-1.11322320816444";"1.68434104425785";"0.95593572682931";"248"
"10";"wretchedness";"-0.974743538407667";"1.52002608077091";"0.954952654285076";"250"
"11";"degree";"-0.959181776218111";"0.797975219933695";"0.953159852906098";"254"
"12";"strong";"-1.09580283600124";"1.23774558491485";"0.952808416344391";"255"
"13";"friend";"-0.500539455508095";"-0.417119948887591";"0.952720557203964";"256"
"14";"invite";"0.885915951976674";"-1.25201317710052";"0.949569501005415";"257"
"15";"consolation";"-1.277246824459";"1.48174732316232";"0.947280414211594";"259"
"16";"glad";"0.353825934797103";"-1.03337937529299";"0.943490598316429";"264"
"17";"astonishment";"-0.0672415476462919";"1.38422611099814";"0.943122539755182";"265"
"18";"easily";"-0.692556376874296";"0.950642527615205";"0.942737859194394";"268"
"19";"colonel";"-0.555847432543595";"-0.835781620526476";"0.942621505197613";"269"
"20";"conviction";"-1.05273913724636";"1.71252236768889";"0.939857504131215";"278"
"21";"submit";"-0.96723898179312";"1.38182984374456";"0.938511122168459";"282"
"22";"reserve";"-1.27724877267034";"0.809373573536004";"0.936810929072633";"285"
"23";"offend";"-1.36831935239729";"0.780151415420173";"0.936810929072633";"286"
"24";"absence";"-0.464426495943884";"0.281588506182111";"0.936514107652272";"287"
"25";"overpower";"-1.03031796926383";"1.31314940524061";"0.935065619120912";"290"
"26";"desirable";"-0.77425036814798";"-1.69636310864729";"0.934037429720783";"293"
"27";"repeat";"-0.542963714232211";"0.599277846492836";"0.932762284898913";"294"
"28";"elliot";"-0.199922995401757";"-1.53494427467441";"0.932242253770442";"296"
"29";"complaint";"-0.671090173951605";"0.720095635873867";"0.932220882628176";"297"
"30";"unfortunate";"-1.07233020194647";"1.85020834211755";"0.931097710373531";"300"
"31";"explain";"-0.716507011006774";"1.10502412824063";"0.929069826429627";"302"
"32";"jealousy";"-1.20097557363586";"1.26012463026957";"0.928483307302994";"303"
"33";"unwelcome";"-1.19127707320653";"1.33815776919788";"0.928169863883094";"304"
"34";"acknowledge";"-1.30082150302214";"0.844841507482324";"0.926628767068581";"306"
"35";"belief";"-1.03129413226445";"1.83601314831923";"0.924456034271541";"310"
"36";"bingley";"-0.457874678780501";"-0.133328127106499";"0.923639181722708";"313"
"37";"acquaintance";"-0.556361166492391";"-0.773714118142917";"0.923062160881527";"316"
"38";"express";"-0.831677812111444";"1.08682843211428";"0.922670356606651";"317"
"39";"avoid";"-0.518918817053012";"0.468206662856489";"0.922309421759493";"319"
"40";"regret";"-0.87351175613221";"1.35527319505057";"0.921644541777885";"320"
"41";"conceal";"-1.07112600385471";"1.37684509120779";"0.920955916082648";"322"
"42";"superior";"-0.615204551522247";"-0.724576781982863";"0.920143812676541";"323"
"43";"body";"-0.293022673435883";"-1.09031606578403";"0.919588162977626";"324"
"44";"word";"-0.148361016673921";"0.710690682570098";"0.919158365560944";"325"
"45";"grateful";"-1.3926926178462";"0.931005920826162";"0.918676327574278";"326"
"46";"sentence";"-0.495385905609006";"1.17980916460525";"0.918104055875823";"328"
"47";"give";"-0.514809466555687";"0.350573741923096";"0.918042317020388";"329"
"48";"injury";"-0.960101013756004";"2.00875741004559";"0.917674258459141";"331"
"49";"creature";"-0.529656880741546";"-0.844945026139091";"0.917436801322852";"332"
"50";"angry";"-0.885287237642798";"1.5907263581983";"0.917251584756547";"333"
"51";"rejoice";"-1.00689421606561";"1.1340738251178";"0.916634196202197";"334"
"52";"weston";"-0.170771520578312";"-1.24261887625354";"0.916080921074645";"335"
"53";"charm";"-0.118174956604927";"-0.630474772471036";"0.91480102711005";"340"
"54";"choose";"-0.578471978393185";"-0.82278168060386";"0.914487583690149";"341"
"55";"elton";"-0.176897557008825";"-1.19466352437984";"0.914243002839772";"342"
"56";"sincerity";"-1.37948513526539";"1.18786302652135";"0.913903439134879";"344"
"57";"witness";"-0.548442694415526";"1.14920265518113";"0.913452270575931";"346"
"58";"rate";"-1.07254698759952";"-1.10149386444179";"0.911526493200631";"348"
"59";"deal";"-0.0907943877865092";"-1.33036482654683";"0.911203551495278";"349"
"60";"effect";"-1.00139362901351";"1.33309653968002";"0.911146561782569";"350"
"61";"wealth";"-0.893766246524543";"-1.79789417277817";"0.911070575498957";"351"
"62";"restraint";"-0.837593643442074";"1.70939410764746";"0.911011211214885";"352"
"63";"probable";"-1.50686527250001";"0.859844904266871";"0.910785626935411";"354"
"64";"reluctance";"-1.08298240534081";"1.77761687926852";"0.910412819231438";"355"
"65";"suffer";"-0.794591309981437";"1.46005543464188";"0.910367702375543";"356"
"66";"endeavour";"-0.938947279231603";"1.38356405617114";"0.910317836376922";"357"
"67";"manner";"-1.05352802070525";"0.174242898449458";"0.910111248668351";"358"
"68";"tenderness";"-1.38361129315106";"1.72997911308209";"0.91008512838336";"359"
"69";"comfort";"-0.504656446232793";"0.087005517390885";"0.909301519833607";"360"
"70";"continue";"-0.259464187098894";"0.336490142633255";"0.907860155016336";"363"
"71";"assurance";"-1.22938936388921";"0.864110336347084";"0.905352607657129";"365"
"72";"justify";"-1.19971863077934";"1.24360841211312";"0.904903813669544";"366"
"73";"short";"-0.293555731088016";"0.451172285787244";"0.904564249964651";"368"
"74";"concealment";"-1.2625950303601";"1.71545863673459";"0.903887497126229";"369"
"75";"grave";"-0.547344066140486";"1.34321377051079";"0.90243188488078";"370"
"76";"compassion";"-1.20832850549862";"1.26643967777773";"0.901579413761505";"371"
"77";"sincere";"-1.15428586905829";"1.05941001934722";"0.900328014653264";"372"
"78";"aunt_s";"-0.494750459768185";"1.04519399366799";"0.898984007261871";"373"
"79";"composure";"-0.666521935152413";"1.40661898021359";"0.898727553554679";"374"
"80";"agatha";"-1.03720933082193";"1.7417312045557";"0.898487721847028";"375"
"81";"impossible";"-0.814385530989266";"0.834060067340406";"0.897720735296816";"376"
"82";"unhappy";"-1.13735282217706";"0.646661698170103";"0.896528700472648";"379"
"83";"create";"-1.01191738274665";"1.5693343629045";"0.888001614708527";"384"
"84";"decision";"-1.17288066368333";"0.750979487402739";"0.888001614708527";"385"
"85";"felicity";"-0.906155046238528";"0.560305676849574";"0.887799776142682";"386"
"86";"disgrace";"-1.29060024590928";"0.72211076405944";"0.887795026999956";"387"
"87";"endure";"-0.782386399665888";"0.428304300840087";"0.887491081865507";"388"
"88";"consideration";"-1.2498850474836";"0.686257955801074";"0.88547744534978";"390"
"89";"resolve";"-0.458505591682454";"0.458626763290937";"0.88538721163799";"391"
